"id_song","name_song","count_p","author","id_folder","one_voice","actual","note","views"
"99","Ciebie Boże chwalimy","25","Schmid C.N./Szulik M.R.","24","0","0",,"83"
"100","Messe Basse I.Kyrie eleison","28","Faure G.","75","0","0",,"71"
"101","Messe Basse II.Sanctus","22","Faure G.","75","0","0",,"81"
"102","Messe Basse III.Benedictus","21","Faure G.","75","0","0",,"77"
"103","Messe Basse IV.Agnus Dei","22","Faure G.","75","0","0",,"78"
"104","Psalm 150","19","Franck C.","73","0","0",,"83"
"105","Psalm 150","15","Franck C.","73","0","0",,"74"
"106","Wskaż mi Panie","41","Wood Ch./Szulik M.R.","17","0","0",,"276"
"107","Bądź przy mnie blisko (3 zwr.)","59","Archer M./Szulik M.R.","17","0","0",,"85"
"108","Tu es Petrus","50","Szulik M.R.","17","0","0",,"76"
"109","Bądź przy mnie blisko (4 zwr.)","49","Archer M./Szulik M.R.","17","0","0",,"69"
"110","Iesu, in Te confido","50","Szulik M.R.","17","0","0",,"72"
"111","Kryste, dniu naszej Światłości","65","Szamotulczyk W. ","18","0","0",,"104"
"112","Modlitwa, gdy dziatki śpią","34","Szamotulczyk W. ","18","0","0",,"74"
"113","Błogosławiony człowiek","47","Szamotulczyk W. ","18","0","0",,"81"
"114","Alleluja. Chwalcie Pana","68","Szamotulczyk W.","18","0","0",,"103"
"115","Ach, mój Niebieski Panie","25","Szamotulczyk W.","18","0","0",,"93"
"116","Kleszczmy rękoma","38","Gomółka M.","19","0","0",,"66"
"117","Królowie sądzą poddane","58","Gomółka M.","19","0","0",,"64"
"118","Mój wiekuisty pasterz ","44","Gomółka M.","19","0","0",,"76"
"119","Jako rzecz piękna","32","Gomółka M.","19","0","0",,"82"
"120","Niech cie chwalą mocarze","37","Gomółka M.","19","0","0",,"82"
"121","Chwalcie Pana","53","Clarke J.","20","0","0",NULL,"82"
"122","Chrystus Wodzem","85","Bach J.S.","20","0","0",,"74"
"123","Jubilate Deo universa terra","32","Halmos L.","20","0","0",NULL,"82"
"124","Głową Imię Pana","54","Hobby R.A./Szulik M.R.","20","0","0",,"74"
"125","Zwyciężca Śmierci","54","Hobby R.A./Szulik M.R.","20","0","0",,"74"
"126","Laudate nomen Domini","55","Tye C.","21","0","0",,"133"
"127","Benedictus","64","Maklakiewicz J.","21","0","0",,"75"
"128","Laudate Dominum","45","Gounod Ch.","21","0","0",,"76"
"129","Cantate Domino","47","Pitoni G.O. ","21","0","0",,"68"
"130","Laudate Dominum","43","Gounod Ch.","21","0","0",,"76"
"131","Exultate Deo","59","Scarlatti A.","13","0","0",,"74"
"132","Chwalcie Pana wszyscy","60","Orszulik J./Szulik M.R.","13","0","0",,"147"
"133","Święty, Święty, Święty","36","Górecki H.M. ","13","0","0",,"83"
"134","Laudate Dominum","43","Mozart W.A. ","22","0","0",,"78"
"136","Córko Syjońska ","91","Haendel G.F. ","22","0","0",,"61"
"137","Ciebie Boga wysławiamy","110","Stuligrosz S.","23","0","0",,"82"
"138","Jubilate Deo","35","Witt F.X.","23","0","0",,"85"
"139","Omnis terra Deo jubilate","45","Halmos L.","23","0","0",,"65"
"141","Laudate Dominum","83","Szulik M.R.","23","0","0",,"73"
"142","Ciebie Boga wysławiamy","41","Szulik M.R.","23","0","0",,"132"
"143","Adorate Deum","43","Szulik M.R.","23","0","0",,"66"
"144","Psalm 150","27","Szulik M.R.","24","0","0",,"83"
"145","Alleluja, żyje Pan","50","Chlondowski A./Szulik M.R.","25","0","0",,"143"
"148","Regina coeli","105","Aichinger G. ","26","0","0",,"74"
"149","Zwycięzca Śmierci (4 zwr.)","66","Chlondowski A./Szulik M.R.","27","0","0",,"147"
"150","Oto są baranki młode","58","Gałuszka J.","27","0","0",,"67"
"151","Haec dies","35","Zieleński M.","27","0","0",,"84"
