"id_news","header","text","date_news","autor"
"44","Kochani jesteśmy już w Wilnie"," Dzisiejszy dzień był pełen wrażeń. Pierwszy przystanek był w Druskiennikach położonych pośród wspaniałej puszczy Orańsko - Druskiennickiej. Są jednym z najlepszych uzdrowisk klimatycznych i balneologicznych regionie Przybałtyckim i jednym z największych w Europie. Następnie dojechaliśmy do Wilna. Rozpoczeliśmy od zwiedzania Cmentarza na Rossie, nazywanego ""Wileńskimi Powązkami"". Jest to jedna z czterech polskich nekropolii narodowych. Pochowano tam żołnierzy poległych w walkach o Wilno i wielu sławnych Polaków związanych z Wilnem.
Biuro Podróży Aga Tour","2022-05-22 20:54:19","Stanisław  Liecko"
"45","Dzisiejszy dzień rozpoczeliśmy od Mszy Świętej przy Obrazie Matki Bożej Ostrobramskiej"," Msza sprawowana była przez naszych dwóch duszpasterzy ks. Michał Mościckiego i ks. Michała Szulika
☕Następnie wróciliśmy do hotelu Panorama na śniadanko i pełni sił ruszyliśmy na kolejne zwiedzanie Litwy. 
Dzisiejszym celem były Troki, które były stolicą Litwy do XIV wieku. Zobaczyliśmy gotycki zamek wzniesiony przez księcia litewskiego Kiejstuta i jego syna Witolda, karaimskie domy i nawiedziliśmy Trocką Bazylikę z cudownym obrazem Matki Bożej.
Następnie wróciliśmy do Wilna.
Zobaczyliśmy Klasztor Sióstr Bożego Miłosierdzia, w którym przebywała s. Faustyna, kiedy Jezus podyktował jej słowa Koronki, a także przepiękny Kościół Piotra i Pawła. Odwiedziliśmy również dom, w którym mieszkał bł. ks. Michał Sopoćko - spowiednik s. Faustyny. Na zakończenie dzisiejszego dnia mieliśmy okazję podziwiać panoramę Wilna z Góry Trzech Krzyży...
?Kolejny dzień pełen modlitwy, śpiewu i wrażeń za nami!
Biuro Podróży Aga Tour","2022-05-22 20:59:36","Stanisław  Liecko"
"46","Dzisiaj ciąg dalszy zwiedzania pięknego Wilna","Udaliśmy się spacerem po wileńskiej Starówce śladami polskiej historii. 
Poniżej mały reportaż z dzisiejszych punktów naszej wędrówki
Biuro Podróży Aga Tour","2022-05-23 13:25:35","Stanisław  Liecko"
"47","Nasz wyjazd dobiegł już końca","Z tego wszystkiego nie było czasu, aby napisać kilka słów o czwartym, ostatnim dniu naszej pielgrzymki. Spieszymy zatem z informacją
Z samego rana, po pysznym śniadanku w Hotelu Panorama wyruszyliśmy w stronę Kowna. Wspólnie z drugą grupą,  uczestniczyliśmy we mszy w kościele bernardynów. W Kownie zwiedziliśmy m.in. gotycką katedrę św. Piotra i Pawła, Ratusz i Starówkę.
Następnie przejechaliśmy do Polski. Po drodze zatrzymaliśmy się, aby pomodlić się w Sanktuarium Matki Bożej w Studzienicznej. 
Nasza pielgrzymka dobiegła końca. Dziękujemy Biuro Podróży Aga Tour za 20 lat współpracy!","2022-05-23 13:27:52","Stanisław  Liecko"
"48","Dobiega końca V. niedziela Wielkanocna","Dla całej naszej chóralnej Rodziny to szczególny czas. Dzisiaj podczas Mszy Świętej o godz. 10:00 modliliśmy się o powrót do zdrowia naszej Chórzystki, która niespodziewanie trafiła wczoraj do szpitala. Wierzymy, że już niedługo spotkamy się w komplecie na próbie i liturgii!
Pozostańcie zdrowi!
Parafia katedralna w Siedlcach pw. Niepokalanego Poczęcia NMP 
 #chórkatedralnysiedlce #vniedzielawielkanocna #bądźciezdrowi #laudatedominum","2022-05-23 13:29:38","Stanisław  Liecko"
"51","2022.10.03 Inauguracja roku akademickiego UPH Msza ","wj.: Gaude Mater
al.: Alleluja z Bazyliki
d.: Bogu z Jego darów
k.: Zbliżam się w pokorze
u.: Canticorum iubilo
z. Maryjo, ja Twe dziecię","2022-10-23 21:43:40","Jan Romanowski"
"52","2022.10.16 XXIX NZ, ROK C","wj.: Jezu miłości Twej
al.: Kwiatkowski
d.: Przyjmij o Najświętszy Panie
k.: Idzie, idzie Bóg prawdziwy
u.: Cantate Domino Pitoni
z.: Chwalcie Pana wszyscy ","2022-10-23 21:44:08","Jan Romanowski"
"53"," 2022.11.06 XXXII NZ, ROK C"," W.: Kłaniam się Tobie (opr. M. Szulik)
All.: Kanon G
D.:  Benedictus  J. Maklakiewicz
K.: O Panie, Tyś moim pasterzem
U.: O sacrum convivium G. Molfino
Z.: Laudate Dominum G. Zelioli","2022-10-24 16:42:29","Michał Szulik"
"54"," 2022.11.20 Uroczystość Jezusa Chrystusa Króla Wszechświata"," wj.: Chrystus wodzem. Boga naszego (opr. M. Szulik)
all.: C. Mawby
d.:  Bóg nad swym ludem (opr. M.Szulik)
k.: Idzie, idzie Bóg prawdziwy
u.: Cóż Ci, Jezu damy (ks. A. Hoffman)
z.: Jubilate Deo C. Mawby","2022-11-08 12:08:11","Michał Szulik"
"55","2022.12.04 II Niedziela Adwentu A","  wj.: Hejnał wszyscy zaśpiewajmy
all.: Kwiatkowski
d.:  Przygotujcie drogi dla Pana (opr. M.Szulik)
k.: Jezu, Jezu do mnie przyjdź
u.: Oculi omnium Ch. Wood
z.: Oto Pan Bóg przyjdzie","2022-11-22 12:08:01","Michał Szulik"
